参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目
公式サイト：https://www.iwa-bousai.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E7%9F%A2%E5%B7%BE%E7%94%BA%20%E5%B2%A9%E6%89%8B%E7%9C%8C%E7%AB%8B%E7%B7%8F%E5%90%88%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,岩手県,矢巾町,岩手県立総合防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。個人・少人数は随時入館。研修は事前連絡。2026年度から日曜・月曜休館。 公的主体：岩手県
公式サイト：https://iwate-tsunami-memorial.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E9%99%B8%E5%89%8D%E9%AB%98%E7%94%B0%E5%B8%82%20%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E6%B4%A5%E6%B3%A2%E4%BC%9D%E6%89%BF%E9%A4%A8%EF%BC%88%E3%81%84%E3%82%8F%E3%81%A6TSUNAMI%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB%EF%BC%89,岩手県,陸前高田市,東日本大震災津波伝承館（いわてTSUNAMIメモリアル）,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：一般観覧・利用案内あり。 公的主体：岩手県
公式サイト：https://kesennuma-memorial.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E6%B0%97%E4%BB%99%E6%B2%BC%E5%B8%82%20%E6%B0%97%E4%BB%99%E6%B2%BC%E5%B8%82%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%E3%83%BB%E4%BC%9D%E6%89%BF%E9%A4%A8,宮城県,気仙沼市,気仙沼市東日本大震災遺構・伝承館,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：遺構内部と展示を観覧可。語り部ガイドは事前予約。 公的主体：気仙沼市
公式サイト：https://www.town.yamamoto.miyagi.jp/site/ruins-nakahama/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E5%B1%B1%E5%85%83%E7%94%BA%20%E5%B1%B1%E5%85%83%E7%94%BA%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%E4%B8%AD%E6%B5%9C%E5%B0%8F%E5%AD%A6%E6%A0%A1,宮城県,山元町,山元町震災遺構中浜小学校,津波・震災遺構展示施設,,,,,,,保存・公開された校舎で震災を学ぶ。語り部の案内も確認したい。 利用条件：校舎保存・公開。語り部ガイドの案内あり。 公的主体：山元町
公式サイト：https://www.pref.miyagi.jp/site/denshokan/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E7%9F%B3%E5%B7%BB%E5%B8%82%20%E3%81%BF%E3%82%84%E3%81%8E%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E6%B4%A5%E6%B3%A2%E4%BC%9D%E6%89%BF%E9%A4%A8,宮城県,石巻市,みやぎ東日本大震災津波伝承館,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：石巻南浜津波復興祈念公園内。一般向け常設展・企画展。 公的主体：宮城県・国
公式サイト：https://www.city.ishinomaki.lg.jp/ruins/okawa/page/20251121142407.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E7%9F%B3%E5%B7%BB%E5%B8%82%20%E7%9F%B3%E5%B7%BB%E5%B8%82%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%E5%A4%A7%E5%B7%9D%E5%B0%8F%E5%AD%A6%E6%A0%A1%E3%83%BB%E5%A4%A7%E5%B7%9D%E9%9C%87%E7%81%BD%E4%BC%9D%E6%89%BF%E9%A4%A8,宮城県,石巻市,石巻市震災遺構大川小学校・大川震災伝承館,津波・震災遺構展示施設,,,,,,,保存校舎と併設伝承館をあわせて訪ね、避難と命を守る判断について学ぶ。 利用条件：一般公開。校舎遺構と併設伝承館を1件として掲載。公開範囲・開館日は公式案内参照。 公的主体：石巻市
公式サイト：https://www.city.ishinomaki.lg.jp/ruins/kadowaki/page/20251121112629.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E7%9F%B3%E5%B7%BB%E5%B8%82%20%E7%9F%B3%E5%B7%BB%E5%B8%82%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%E9%96%80%E8%84%87%E5%B0%8F%E5%AD%A6%E6%A0%A1,宮城県,石巻市,石巻市震災遺構門脇小学校,津波・震災遺構展示施設,,,,,,,津波火災の痕跡が残る校舎と展示館を通して、被災時の行動を考える。 利用条件：一般観覧可。津波火災の遺構と展示館。保存校舎は外部通路から見学。 公的主体：石巻市
公式サイト：https://sendai311-memorial.jp/about/overview/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E4%BB%99%E5%8F%B0%E5%B8%82%E8%8B%A5%E6%9E%97%E5%8C%BA%20%E3%81%9B%E3%82%93%E3%81%A0%E3%81%843.11%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A2%E3%83%AB%E4%BA%A4%E6%B5%81%E9%A4%A8,宮城県,仙台市若林区,せんだい3.11メモリアル交流館,震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：無料。地下鉄東西線荒井駅舎内。 公的主体：仙台市
公式サイト：https://arahama.sendai311-memorial.jp/information/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E4%BB%99%E5%8F%B0%E5%B8%82%E8%8B%A5%E6%9E%97%E5%8C%BA%20%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%20%E4%BB%99%E5%8F%B0%E5%B8%82%E7%AB%8B%E8%8D%92%E6%B5%9C%E5%B0%8F%E5%AD%A6%E6%A0%A1,宮城県,仙台市若林区,震災遺構 仙台市立荒浜小学校,津波・震災遺構展示施設,,,,,,,一般公開された被災校舎をたどり、学校と地域の避難の記録を読む。 利用条件：校舎内を一般公開。職員案内希望は事前予約。 公的主体：仙台市
公式サイト：https://www.city.higashimatsushima.miyagi.jp/shisei/shinsaifukko/fukkokinenkoen/fukkodensyokan.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E6%9D%B1%E6%9D%BE%E5%B3%B6%E5%B8%82%20%E6%9D%B1%E6%9D%BE%E5%B3%B6%E5%B8%82%E9%9C%87%E7%81%BD%E5%BE%A9%E8%88%88%E4%BC%9D%E6%89%BF%E9%A4%A8,宮城県,東松島市,東松島市震災復興伝承館,津波・震災伝承館,,,,,,,旧野蒜駅舎を活用した伝承館で、地域の被災と復興の記録を読む。 利用条件：無料。旧野蒜駅舎を活用した展示施設。 公的主体：東松島市
公式サイト：https://www.natori-denshoukan.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E5%90%8D%E5%8F%96%E5%B8%82%20%E5%90%8D%E5%8F%96%E5%B8%82%E9%9C%87%E7%81%BD%E5%BE%A9%E8%88%88%E4%BC%9D%E6%89%BF%E9%A4%A8,宮城県,名取市,名取市震災復興伝承館,津波・震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：無料。開館時間は季節により異なる。 公的主体：名取市
公式サイト：https://bousai-akita.jp/pages/index.html?article_id=54 Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A7%8B%E7%94%B0%E7%9C%8C%20%E7%94%B1%E5%88%A9%E6%9C%AC%E8%8D%98%E5%B8%82%20%E7%A7%8B%E7%94%B0%E7%9C%8C%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E9%A4%A8,秋田県,由利本荘市,秋田県防災学習館,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：一般体験可。団体は予約。個人も事前予約・電話確認を推奨。 公的主体：秋田県
公式サイト：https://www.pref.yamagata.jp/027007/bosai/kochibou/bousaijouhou/kyouikukeihatsu/gakusyuukann.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E5%BD%A2%E7%9C%8C%20%E4%B8%89%E5%B7%9D%E7%94%BA%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E9%A4%A8,山形県,三川町,山形県防災学習館,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。団体は事前予約。地震体験は屋外の体験車で天候により中止。 公的主体：山形県
公式サイト：https://memorial-iwaki.com/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E3%81%84%E3%82%8F%E3%81%8D%E5%B8%82%20%E3%81%84%E3%82%8F%E3%81%8D%E9%9C%87%E7%81%BD%E4%BC%9D%E6%89%BF%E3%81%BF%E3%82%89%E3%81%84%E9%A4%A8,福島県,いわき市,いわき震災伝承みらい館,震災伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：一般向け展示・語り部講話。 公的主体：いわき市
公式サイト：https://www.fipo.or.jp/lore/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E5%8F%8C%E8%91%89%E7%94%BA%20%E6%9D%B1%E6%97%A5%E6%9C%AC%E5%A4%A7%E9%9C%87%E7%81%BD%E3%83%BB%E5%8E%9F%E5%AD%90%E5%8A%9B%E7%81%BD%E5%AE%B3%E4%BC%9D%E6%89%BF%E9%A4%A8,福島県,双葉町,東日本大震災・原子力災害伝承館,震災・原子力災害伝承館,,,,,,,地域に残された災害の記録を読み、避難と復興の教訓を学ぶ訪問先。 利用条件：一般観覧可。入館料金・語り部講話の案内あり。 公的主体：福島県
公式サイト：https://www.manamori.jp/museum/index.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E5%AF%8C%E5%B2%A1%E7%94%BA%20%E3%81%A8%E3%81%BF%E3%81%8A%E3%81%8B%E3%82%A2%E3%83%BC%E3%82%AB%E3%82%A4%E3%83%96%E3%83%BB%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0,福島県,富岡町,とみおかアーカイブ・ミュージアム,震災・原子力災害伝承館,,,,,,,地域の歴史と、震災・原子力災害の複合的な記録をあわせて読む。 利用条件：一般観覧・企画展・利用案内あり。地域史と複合災害の展示。 公的主体：富岡町
公式サイト：https://www.town.namie.fukushima.jp/soshiki/35/29757.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B3%B6%E7%9C%8C%20%E6%B5%AA%E6%B1%9F%E7%94%BA%20%E9%9C%87%E7%81%BD%E9%81%BA%E6%A7%8B%20%E6%B5%AA%E6%B1%9F%E7%94%BA%E7%AB%8B%E8%AB%8B%E6%88%B8%E5%B0%8F%E5%AD%A6%E6%A0%A1,福島県,浪江町,震災遺構 浪江町立請戸小学校,津波・震災遺構展示施設,,,,,,,被災校舎の公開部分を見学し、津波からの避難を学ぶ。 利用条件：町公式から専用サイトを案内。被災校舎を一般公開。 公的主体：浪江町
公式サイト：https://www.t-bousaikan.jp/ 公式資料：https://www.pref.tochigi.lg.jp/l51/prevent/bousai/chishiki/1183616253771.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E5%AE%87%E9%83%BD%E5%AE%AE%E5%B8%82%20%E6%A0%83%E6%9C%A8%E7%9C%8C%E9%98%B2%E7%81%BD%E9%A4%A8,栃木県,宇都宮市,栃木県防災館,防災館,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。個人申込不要、10名以上は事前申込。 公的主体：栃木県
公式サイト：https://www.ktr.mlit.go.jp/nikko/nikko00017.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E6%97%A5%E5%85%89%E5%B8%82%20SABO%E3%82%A4%E3%83%B3%E3%83%95%E3%82%A9%E3%83%A1%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%B3%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC%EF%BC%88%E6%97%A5%E5%85%89%E9%83%B7%E5%9C%9F%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E5%86%85%EF%BC%89,栃木県,日光市,SABOインフォメーションコーナー（日光郷土センター内）,砂防資料展示室,,,,,,,観光案内施設内の小規模展示。砂防施設のパネルと効果体験模型を見学する。 利用条件：一般見学可・無料。砂防施設のパネル・効果体験模型を展示。 公的主体：国土交通省
公式サイト：https://www.town.naganohara.gunma.jp/yamba-museum/guide.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E9%95%B7%E9%87%8E%E5%8E%9F%E7%94%BA%20%E3%82%84%E3%82%93%E3%81%B0%E5%A4%A9%E6%98%8E%E6%B3%A5%E6%B5%81%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0,群馬県,長野原町,やんば天明泥流ミュージアム,火山災害伝承館,,,,,,,天明泥流の実物資料・模型・映像から、火山災害と当時の暮らしを学ぶ。 利用条件：一般観覧可・有料。天明泥流の被災資料・映像・模型を展示。 公的主体：長野原町
公式サイト：https://www.asamaen.tsumagoi.gunma.jp/kazan.html 公式資料：https://www.asamaen.tsumagoi.gunma.jp/access.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E9%95%B7%E9%87%8E%E5%8E%9F%E7%94%BA%20%E6%B5%85%E9%96%93%E5%B1%B1%E5%8C%97%E9%BA%93%E3%83%93%E3%82%B8%E3%82%BF%E3%83%BC%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,群馬県,長野原町,浅間山北麓ビジターセンター,火山学習施設,,,,,,,浅間山の成り立ちをジオラマで学ぶ小規模施設。季節・曜日限定の訪問候補。 利用条件：有料。2026年は4月24日〜11月30日の金土日祝営業。所在地は公式アクセスに記載の長野原町北軽井沢を採用。旧浅間記念館を改修した現施設。 公的主体：長野原町（町営浅間園）
公式サイト：https://www.ktr.mlit.go.jp/tonejo/tonejo_index011.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E4%B9%85%E5%96%9C%E5%B8%82%20%E5%88%A9%E6%A0%B9%E5%B7%9D%E8%B3%87%E6%96%99%E9%96%B2%E8%A6%A7%E5%AE%A4%EF%BC%88%E6%97%A7%E3%83%BB%E5%88%A9%E6%A0%B9%E5%B7%9D%E8%B3%87%E6%96%99%E9%A4%A8%EF%BC%89,埼玉県,久喜市,利根川資料閲覧室（旧・利根川資料館）,治水資料館,,,,,,,利根川関係の資料を閲覧する予約型の施設。展示巡りより調べもの向け。 利用条件：事前予約で誰でも閲覧可。7日前まで連絡。利用日・時間は公式利用案内参照。 公的主体：国土交通省
公式サイト：https://saitamabousai.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E9%B4%BB%E5%B7%A3%E5%B8%82%20%E5%9F%BC%E7%8E%89%E7%9C%8C%E9%98%B2%E7%81%BD%E5%AD%A6%E7%BF%92%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%88%E8%83%BD%E7%BE%8E%E9%98%B2%E7%81%BD%E3%81%9D%E3%81%AA%E3%83%BC%E3%81%88%EF%BC%89,埼玉県,鴻巣市,埼玉県防災学習センター（能美防災そなーえ）,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。団体は予約。体験項目に年齢制限あり。 公的主体：埼玉県
公式サイト：https://www.ktr.mlit.go.jp/edogawa/edogawa_index042.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E6%98%A5%E6%97%A5%E9%83%A8%E5%B8%82%20%E9%A6%96%E9%83%BD%E5%9C%8F%E5%A4%96%E9%83%AD%E6%94%BE%E6%B0%B4%E8%B7%AF%20%E9%BE%8DQ%E9%A4%A8,埼玉県,春日部市,首都圏外郭放水路 龍Q館,治水・防災学習施設,,,,,,,首都圏外郭放水路を解説する展示を見学。地下施設まで見る場合は別途予約が必要。 利用条件：展示室は予約不要・無料。地下施設見学は別途予約。月曜は見学会参加者のみ入館可。一部コンテンツ休止案内あり。 公的主体：国土交通省・春日部市
公式サイト：https://www.pref.chiba.lg.jp/bousaik/jibun/taiken/seibubousai.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E6%9D%BE%E6%88%B8%E5%B8%82%20%E5%8D%83%E8%91%89%E7%9C%8C%E8%A5%BF%E9%83%A8%E9%98%B2%E7%81%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,千葉県,松戸市,千葉県西部防災センター,防災体験施設,,,,,,,防災の展示・体験を通して災害時の行動を学ぶ。施設ごとの体験内容と展示の構成を見比べたい。 利用条件：無料。体験ツアー事前予約。県案内に地震体験・総合テーマ室休止の記載あり（2025-08-25更新）。 公的主体：千葉県
公式サイト：https://www.tokyorinkai-koen.jp/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B1%9F%E6%9D%B1%E5%8C%BA%20%E3%81%9D%E3%81%AA%E3%82%A8%E3%83%AA%E3%82%A2%E6%9D%B1%E4%BA%AC%EF%BC%88%E6%9D%B1%E4%BA%AC%E8%87%A8%E6%B5%B7%E5%BA%83%E5%9F%9F%E9%98%B2%E7%81%BD%E5%85%AC%E5%9C%92%EF%BC%89,東京都,江東区,そなエリア東京（東京臨海広域防災公園）,防災体験施設,,,,,,,「東京直下72h TOUR」で、被災直後を想定した展示空間と防災拠点を見学する。 利用条件：個人・家族と団体の見学案内あり。混雑時はツアー受付終了の場合あり。 公的主体：国（国営公園）
公式サイト：https://www.tfd.metro.tokyo.lg.jp/taiken/hkkan/ Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA%20%E6%B6%88%E9%98%B2%E5%8D%9A%E7%89%A9%E9%A4%A8%EF%BC%88%E6%9D%B1%E4%BA%AC%E6%B6%88%E9%98%B2%E5%BA%81%E6%B6%88%E9%98%B2%E9%98%B2%E7%81%BD%E8%B3%87%E6%96%99%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%EF%BC%89,東京都,新宿区,消防博物館（東京消防庁消防防災資料センター）,消防資料館,,,,,,,消防車両・消防用具の実物と、江戸から現代への消防展示の変化を見比べる。 利用条件：個人は予約不要。団体見学は公式利用案内を確認。 公的主体：東京消防庁
公式サイト：https://www.town.oshima.tokyo.jp/soshiki/kankou/geonous1.html Googleマップ：https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%A4%A7%E5%B3%B6%E7%94%BA%20%E4%BC%8A%E8%B1%86%E5%A4%A7%E5%B3%B6%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E3%82%B8%E3%82%AA%E3%83%8E%E3%82%B9%EF%BC%88%E6%97%A7%E3%83%BB%E4%BC%8A%E8%B1%86%E5%A4%A7%E5%B3%B6%E7%81%AB%E5%B1%B1%E5%8D%9A%E7%89%A9%E9%A4%A8%EF%BC%89,東京都,大島町,伊豆大島ミュージアム ジオノス（旧・伊豆大島火山博物館）,火山防災施設,,,,,,,旧火山博物館から更新された展示を訪ね、島の火山・自然・暮らしを学ぶ。 利用条件：2025-07-01リニューアル開館。旧名称での重複掲載なし。 公的主体：大島町
