都道府県,市区町村,店舗名・施設名,分類,評価,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名
北海道,北海道教育委員会,北海道教育委員会「廃校施設の活用事例集」,廃校,S,旧学校名、廃校年度、現在の用途が大量に並ぶ。,https://www.dokyoi.pref.hokkaido.lg.jp/hk/gst/haiko/jireisyu1.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%95%99%E8%82%B2%E5%A7%94%E5%93%A1%E4%BC%9A%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,北海道教育委員会,北海道教育委員会「廃校舎・旧教職員住宅等未利用地情報」,未利用施設,S,廃校だけでなく旧教職員住宅や未利用地まで見られる。,https://www.dokyoi.pref.hokkaido.lg.jp/hk/gst/haikouandjyutaku.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%95%99%E8%82%B2%E5%A7%94%E5%93%A1%E4%BC%9A%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,北海道教育委員会,北海道教育委員会「旧教職員住宅売却対象物件情報」,住宅,B,空知、宗谷、根室、留萌など管内別に売却対象の旧教職員住宅が並ぶ。,https://www.dokyoi.pref.hokkaido.lg.jp/hk/gst/koutakubaikyaku.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%95%99%E8%82%B2%E5%A7%94%E5%93%A1%E4%BC%9A%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,北海道教育委員会,北海道教育委員会「教育庁施設課 全ページ」,行政深層,S,廃校、旧教職員住宅、自販機設置、公有財産、工事発注などに潜れる。,https://www.dokyoi.pref.hokkaido.lg.jp/hk/gst/docs/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%E6%95%99%E8%82%B2%E5%A7%94%E5%93%A1%E4%BC%9A%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「雪堆積場情報」,雪,B,市内各所の雪を捨てる場所を管理するページ。,https://www.city.sapporo.jp/kensetsu/yuki/taisekijou/,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「雪堆積場 全箇所開設状況」,雪,B,満杯・閉鎖・搬入可能車種・手おろし可否などが並ぶ。,https://www4.city.sapporo.jp/cgi-bin/kensetsu/yuki/show_taiseki.cgi,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「雪堆積場ライブ映像」,ライブカメラ,B,冬季に雪堆積場の出入口映像などを確認できる。,https://www4.city.sapporo.jp/cgi-bin/kensetsu/yuki/show_taiseki.cgi?type=2,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「雪対策施設」,都市設備,B,雪堆積場、融雪施設、流雪溝、ロードヒーティングなどを一覧できる。,https://www.city.sapporo.jp/kensetsu/yuki/yukishisetsu/index.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「雪堆積場違反車両検知システム」,謎システム,B,雪堆積場の違反車両を検知する行政システムの公募ページ。,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/ihansharyou.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「建設局 随意契約結果」,行政システム,B,除雪作業日報作成支援システム、雪堆積場等選定システムなどが出てくる。,https://www.city.sapporo.jp/kensetsu/stn/dobokubu/kako/simeizuii7.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市,札幌市「民活型雪堆積場管理業務」,雪,B,土地確保から施設整備、雪処理、雪割、閉鎖までを民間に発注する仕様が見える。,https://www.city.sapporo.jp/kensetsu/yuki/jigyosha/minkatsu-r8.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市交通局,札幌市交通局「地下鉄の概要」,地下鉄,S,南北線の地上区間を覆う雪対策シェルターなど、札幌独自の構造が見える。,https://www.city.sapporo.jp/st/subway/gaiyo/gaiyo.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%BA%A4%E9%80%9A%E5%B1%80%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,札幌市交通局,札幌市交通局「真駒内バス施設等除雪業務仕様書」,除雪仕様書,S,地下鉄シェルターから雪を下ろす方法など維持管理の裏側が読める。,https://www.city.sapporo.jp/st/keiyaku/25kokuji/documents/257510siyousyo.pdf,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%BA%A4%E9%80%9A%E5%B1%80%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
北海道,稚内市,稚内市「除雪について」,除雪行政,B,除雪対象路線、出動目安、地区ごとの担当業者などを公開。,https://www.city.wakkanai.hokkaido.jp/sangyo/dorokasen/josetsu/,https://www.google.com/maps/search/?api=1&query=%E7%A8%9A%E5%86%85%E5%B8%82%20%E5%8C%97%E6%B5%B7%E9%81%93,自治体ウェブ資料,,
青森県,青森市,青森市「流・融雪溝は適正に利用しましょう」,流雪溝,B,道路脇の投雪口に雪を投入する設備の利用ルールが載る。,https://www.city.aomori.aomori.jp/kurashi_kankyo/kitaguni/1002437/1002446.html,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E5%B8%82%20%E9%9D%92%E6%A3%AE%E7%9C%8C,自治体ウェブ資料,,
青森県,青森市,青森市「除排雪事業実施計画」,除雪行政,B,毎年度の除雪方法や支援制度を計画書として公開。,https://www.city.aomori.aomori.jp/kurashi_kankyo/kitaguni/1002456/1002457/1002459.html,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E5%B8%82%20%E9%9D%92%E6%A3%AE%E7%9C%8C,自治体ウェブ資料,,
青森県,青森市,青森市「地域コミュニティ除排雪制度」,町内会,B,町会・除雪業者・市で除排雪の方法を協定する制度。,https://www.city.aomori.aomori.jp/kurashi_kankyo/kitaguni/1002413/1002416/1002418.html,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E5%B8%82%20%E9%9D%92%E6%A3%AE%E7%9C%8C,自治体ウェブ資料,,
群馬県,渋川市,渋川市「旧刀川小学校の利活用事業者公募」,廃校,S,廃校の施設図面、貸付条件、申込書、資金計画などまで見られる。,https://www.city.shibukawa.lg.jp/shisei/000276/000283/p010593.html,https://www.google.com/maps/search/?api=1&query=%E6%B8%8B%E5%B7%9D%E5%B8%82%20%E7%BE%A4%E9%A6%AC%E7%9C%8C,自治体ウェブ資料,,
茨城県,かすみがうら市,かすみがうら市「千代田地区の廃校施設」,廃校,S,廃校写真、利活用調査、市民との懇談会議事録などを公開。,https://www.city.kasumigaura.lg.jp/page/page013104.html,https://www.google.com/maps/search/?api=1&query=%E3%81%8B%E3%81%99%E3%81%BF%E3%81%8C%E3%81%86%E3%82%89%E5%B8%82%20%E8%8C%A8%E5%9F%8E%E7%9C%8C,自治体ウェブ資料,,
神奈川県,川崎市,川崎市「浮島処理センター」,清掃工場,S,焼却施設と粗大ごみ処理施設。中央制御室なども見学対象。,https://www.city.kawasaki.jp/shisei/category/288-12-1-4-0-0-0-0-0-0.html,https://www.google.com/maps/search/?api=1&query=%E5%B7%9D%E5%B4%8E%E5%B8%82%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C,自治体ウェブ資料,,
神奈川県,横浜市,横浜市「水再生センター等一覧」,下水道,S,市内の水再生センターと汚泥資源化センターの入口。,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kasen-gesuido/gesuido/center/saisei_center/centerinfo.html,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E5%B8%82%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C,自治体ウェブ資料,,
神奈川県,横浜市,横浜市「南部水再生センター施設見学」,下水道,S,処理水、微生物、中央操作室などを見学できる。,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/kasen-gesuido/gesuido/center/saisei_center/nanbu/visit.html,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E5%B8%82%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C,自治体ウェブ資料,,
神奈川県,横浜市,横浜市「学校給食 基準献立」,学校給食,B,自治体が学校給食をどう設計しているかを献立基準から見られる。,https://www.city.yokohama.lg.jp/kosodate-kyoiku/kyoiku/sesaku/kyusyoku/syogakko-shiengakko/kondate.html,https://www.google.com/maps/search/?api=1&query=%E6%A8%AA%E6%B5%9C%E5%B8%82%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C,自治体ウェブ資料,,
新潟県,新潟市,新潟市「消雪パイプについての市民意見と回答」,消雪パイプ,B,水源、維持費、電気代などを市が説明する市民意見回答。,https://www.city.niigata.lg.jp/shisei/kocho/tegami_top/tegami/tegami_r6top/r6_5seikatu/2025112702.html,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E5%B8%82%20%E6%96%B0%E6%BD%9F%E7%9C%8C,自治体ウェブ資料,,
富山県,富山市,富山市「地下水の節水」,地下水・消雪,S,消雪設備稼働による地下水位低下、井戸枯れ、塩水化、地盤沈下などを扱う。,https://www.city.toyama.lg.jp/kurashi/gomi/1010244/1010245/1005243.html,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E5%B8%82%20%E5%AF%8C%E5%B1%B1%E7%9C%8C,自治体ウェブ資料,,
富山県,富山市,富山市「消雪装置設置補助事業」,町内設備,B,町内団体が市道に消雪装置を設置する際の補助制度。,https://www.city.toyama.lg.jp/kurashi/road/1010280/1006953.html,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E5%B8%82%20%E5%AF%8C%E5%B1%B1%E7%9C%8C,自治体ウェブ資料,,
福井県,福井市,福井市「除雪」,雪,B,市民雪置き場、小型除雪機購入補助、オペレータ育成など雪関連制度の入口。,https://www.city.fukui.lg.jp/kurasi/koutu/snow/index.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BA%95%E5%B8%82%20%E7%A6%8F%E4%BA%95%E7%9C%8C,自治体ウェブ資料,,
福井県,福井市,福井市「市の道路除雪について」,除雪行政,B,除雪対策本部、除雪計画書、除雪状況、雪捨場の開設状況などを管理。,https://www.city.fukui.lg.jp/kurasi/koutu/snow/fukuisidourojyosetu.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E4%BA%95%E5%B8%82%20%E7%A6%8F%E4%BA%95%E7%9C%8C,自治体ウェブ資料,,
愛知県,名古屋市,名古屋市「市営住宅一覧・間取り図」,公営住宅,B,市営住宅ごとの建設年度、戸数、間取り図PDFなどを見られる。,https://www.city.nagoya.jp/kurashi/juutaku/1014583/1014585/1014586/1014607/1014614.html,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E6%84%9B%E7%9F%A5%E7%9C%8C,自治体ウェブ資料,,
愛知県,名古屋市,名古屋市「市営住宅一覧 北区・西区・中村区」,団地アーカイブ,A,上飯田荘、黒川荘、柳原荘、黄金荘など多数の団地と間取り図を見られる。,https://www.city.nagoya.jp/kurashi/juutaku/1014583/1014585/1014586/1014607/1014613.html,https://www.google.com/maps/search/?api=1&query=%E5%90%8D%E5%8F%A4%E5%B1%8B%E5%B8%82%20%E6%84%9B%E7%9F%A5%E7%9C%8C,自治体ウェブ資料,,
大阪府,大阪市,大阪市「渡船場マップ」,渡船,B,市が運営する無料渡船を地図から見られる。,https://www.city.osaka.lg.jp/kensetsu/page/0000011242.html,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B8%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C,自治体ウェブ資料,,
大阪府,大阪市,大阪市「渡船の歴史」,渡船史,B,かつての渡船数、船舶数、利用者数など都市交通の歴史が分かる。,https://www.city.osaka.lg.jp/kensetsu/page/0000009414.html,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B8%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C,自治体ウェブ資料,,
大阪府,大阪市,大阪市「渡船運送約款」,行政文書,B,大阪市営渡船の運送約款。無料運送の規定などが読める。,https://www.city.osaka.lg.jp/kensetsu/cmsfiles/contents/0000030/30851/2025yakkn.pdf,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%B8%82%20%E5%A4%A7%E9%98%AA%E5%BA%9C,自治体ウェブ資料,,
岡山県,岡山市,岡山市「市場施設一般見学」,卸売市場,A,守衛室で手続きして見学する方式。駐車場案内図や申請書も公開。,https://www.city.okayama.jp/jigyosha/0000022860.html,https://www.google.com/maps/search/?api=1&query=%E5%B2%A1%E5%B1%B1%E5%B8%82%20%E5%B2%A1%E5%B1%B1%E7%9C%8C,自治体ウェブ資料,,
広島県,広島市,広島市「被爆建物リスト」,建築・都市史,B,学校や銀行だけでなく倉庫、変電所、給水塔、公衆便所なども追える。,https://www.city.hiroshima.lg.jp/atomicbomb-peace/fukko/1021101/1026920/1026921/index.html,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E5%B8%82%20%E5%BA%83%E5%B3%B6%E7%9C%8C,自治体ウェブ資料,,
広島県,広島市,広島市「被爆建物一覧表」,建築データ,B,現在名、当時名、構造、爆心地からの距離などを一覧で見られる。,https://www.city.hiroshima.lg.jp/atomicbomb-peace/fukko/1021101/1026920/1026921/1003420.html,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E5%B8%82%20%E5%BA%83%E5%B3%B6%E7%9C%8C,自治体ウェブ資料,,
香川県,高松市,高松市「斎場施設」,斎場,B,市が管理する斎場の火葬受入時間、休場日、使用料などを案内。,https://www.city.takamatsu.kagawa.jp/smph/kurashi/kurashi/bochi/sougi/index.html,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E6%9D%BE%E5%B8%82%20%E9%A6%99%E5%B7%9D%E7%9C%8C,自治体ウェブ資料,,
愛媛県,松山市,松山市「市営墓地」,墓地行政,B,市営墓地の一覧、貸付、利用条件などを確認できる。,https://www.city.matsuyama.ehime.jp/kurashi/kurashi/bochi_noukotsudo/sieiboti1.html,https://www.google.com/maps/search/?api=1&query=%E6%9D%BE%E5%B1%B1%E5%B8%82%20%E6%84%9B%E5%AA%9B%E7%9C%8C,自治体ウェブ資料,,
高知県,高知市,高知市「津波避難タワー・津波避難センター」,津波,B,避難可能人数、標高などを含む津波避難専用施設の一覧。,https://www.city.kochi.kochi.jp/soshiki/12/tunamihinann-ct.html,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E5%B8%82%20%E9%AB%98%E7%9F%A5%E7%9C%8C,自治体ウェブ資料,,
高知県,高知市,高知市「津波避難ビル一覧」,津波ビル,B,ホテル、学校、マンションなど指定施設を避難人数とともに管理。,https://www.city.kochi.kochi.jp/soshiki/12/tunamihinannbiru.html,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E5%B8%82%20%E9%AB%98%E7%9F%A5%E7%9C%8C,自治体ウェブ資料,,
高知県,高知市,高知市「地域防災推進課」,防災部署,B,津波避難、標高地形図、大規模盛土造成地、過去の南海地震写真などへ潜れる。,https://www.city.kochi.kochi.jp/soshiki/12/,https://www.google.com/maps/search/?api=1&query=%E9%AB%98%E7%9F%A5%E5%B8%82%20%E9%AB%98%E7%9F%A5%E7%9C%8C,自治体ウェブ資料,,
福岡県,福岡市,福岡市「市営渡船航路」,市営船,B,博多ふ頭・姪浜などから島へ向かう市営航路。,https://www.city.fukuoka.lg.jp/kowan/kyakusen/hakata-port/kohro_top.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,福岡市,福岡市「市営渡船の船舶紹介」,市営船,B,市営船の総トン数、全長、速力、定員などを一覧できる。,https://www.city.fukuoka.lg.jp/kowan/kyakusen/sennpakusyoukai.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,福岡市,福岡市「博多港」,港湾,B,各ふ頭、港湾統計、財政収支、港湾計画、寄港予定などへ潜れる。,https://www.city.fukuoka.lg.jp/kowan/hakata-port/index.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,福岡市,福岡市「福岡市営渡船」,市営船運用,B,航路、時刻表、貸切船、納涼船、広告募集、船舶紹介などを一部署で運営。,https://www.city.fukuoka.lg.jp/kowan/kyakusen/hakata-port/ferry_city.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,福岡市,福岡市「市営渡船からのお知らせ」,船舶売却,B,運航情報に加えて船舶売払い情報なども出る。,https://www.city.fukuoka.lg.jp/kowan/kyakusen/shisei/oshirase.html,https://www.google.com/maps/search/?api=1&query=%E7%A6%8F%E5%B2%A1%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,北九州市,北九州市「渡船事業所ページ一覧」,市営渡船,B,若戸渡船・小倉航路の設備、運送約款、歴史、安全情報などへ潜れる。,https://www.city.kitakyushu.lg.jp/contents/division108list.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,北九州市,北九州市「北九州市営渡船運送約款」,船の規則,B,北九州市が経営する航路の運送約款。,https://www.city.kitakyushu.lg.jp/contents/10800047.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,北九州市,北九州市「小倉航路の歴史」,島の生活路線,B,市営渡船の歴史と、かつての寄港地や生活交通としての役割が分かる。,https://www.city.kitakyushu.lg.jp/contents/924_10261.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
福岡県,北九州市,北九州市「渡船運航状況・お知らせ」,渡船運行,B,市営渡船の運航状況、航路改善、安全情報などを公開。,https://www.city.kitakyushu.lg.jp/shisei/menu_00060.html,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E4%B9%9D%E5%B7%9E%E5%B8%82%20%E7%A6%8F%E5%B2%A1%E7%9C%8C,自治体ウェブ資料,,
長崎県,長崎市,長崎市「斜面移送システム」,斜面都市,B,階段部分に設置された小型移送機「てんじんくん」などを紹介。,https://www.city.nagasaki.lg.jp/page/1385.html,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E5%B8%82%20%E9%95%B7%E5%B4%8E%E7%9C%8C,自治体ウェブ資料,,
長崎県,長崎市,長崎市「移送支援サービス」,斜面生活,B,車道までの階段や距離など、斜面地特有の条件に対応する福祉制度。,https://www.city.nagasaki.lg.jp/page/2575.html,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E5%B8%82%20%E9%95%B7%E5%B4%8E%E7%9C%8C,自治体ウェブ資料,,
長崎県,長崎市,長崎市「市営住宅の申込資格」,斜面住宅,B,斜面地住宅の居住状況などを現地調査する規定がある。,https://www.city.nagasaki.lg.jp/page/1818.html,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E5%B4%8E%E5%B8%82%20%E9%95%B7%E5%B4%8E%E7%9C%8C,自治体ウェブ資料,,
大分県,別府市,別府市「市営温泉」,市営温泉,B,竹瓦温泉、不老泉、競輪温泉、鉄輪むし湯などを市が管理。,https://www.city.beppu.oita.jp/sangyou/onsen/detail2.html,https://www.google.com/maps/search/?api=1&query=%E5%88%A5%E5%BA%9C%E5%B8%82%20%E5%A4%A7%E5%88%86%E7%9C%8C,自治体ウェブ資料,,
大分県,別府市,別府市「市営温泉地図」,市営温泉,B,行政施設としての市営温泉を地図から見られる。,https://www.city.beppu.oita.jp/sisetu/shieionsen/05maps_main-map.html,https://www.google.com/maps/search/?api=1&query=%E5%88%A5%E5%BA%9C%E5%B8%82%20%E5%A4%A7%E5%88%86%E7%9C%8C,自治体ウェブ資料,,
大分県,別府市,別府市「市営温泉休業日カレンダー」,施設運行,B,市営温泉の休業日を一元管理。,https://www.city.beppu.oita.jp/01onsen/09announce/kiyosen.html,https://www.google.com/maps/search/?api=1&query=%E5%88%A5%E5%BA%9C%E5%B8%82%20%E5%A4%A7%E5%88%86%E7%9C%8C,自治体ウェブ資料,,
大分県,別府市,別府市「温泉課」,温泉行政,B,市営温泉、共同温泉、温泉資源量調査、温泉マネジメント計画などへ潜れる。,https://www.city.beppu.oita.jp/departments/11.html,https://www.google.com/maps/search/?api=1&query=%E5%88%A5%E5%BA%9C%E5%B8%82%20%E5%A4%A7%E5%88%86%E7%9C%8C,自治体ウェブ資料,,
鹿児島県,鹿児島市,鹿児島市「降灰除去対策」,火山灰,B,ロードスイーパー、散水車、克灰袋、灰ステーションなど火山灰処理体系の入口。,https://www.city.kagoshima.lg.jp/kikikanri/kazan/kouhai.html,https://www.google.com/maps/search/?api=1&query=%E9%B9%BF%E5%85%90%E5%B3%B6%E5%B8%82%20%E9%B9%BF%E5%85%90%E5%B3%B6%E7%9C%8C,自治体ウェブ資料,,
