都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
岩手県,盛岡市,もりおか啄木・賢治青春館,旧銀行→文学館,1910年竣工の旧第九十銀行本店を文学館へ転用。旧営業室・金庫など銀行時代の空間を残し、石川啄木と宮沢賢治の資料を公開。,https://seishunkan.jp/,,,,,,,
佐賀県,佐賀市,旧古賀銀行,旧銀行→歴史資料館,1906年の旧古賀銀行本店を、銀行閉鎖後の商工会議所・労働会館などを経て歴史資料館に転用。旧銀行の営業室を公開。,https://www.sagarekimin.jp/facility/kogabank/,,,,,,,
秋田県,秋田市,秋田市立赤れんが郷土館,旧銀行→郷土資料館,1912年築の旧秋田銀行本店を郷土資料館へ転用。銀行営業室の構造と赤れんが外壁を保存し、勝平得之資料などを公開。,https://www.city.akita.lg.jp/kanko/kanrenshisetsu/1003617/1009785/1043744.html,,,,,,,
北海道,小樽市,日本銀行旧小樽支店金融資料館,旧銀行→金融資料館,1912年竣工の日本銀行小樽支店を金融資料館へ転用。営業場・金庫など旧支店の設備を公開。,https://www3.boj.or.jp/otaru-m/building/index.html,,,,,,,
北海道,小樽市,旧日本郵船株式会社小樽支店,旧海運会社支店→公開文化施設,1906年竣工の日本郵船小樽支店。1954年まで営業後、市が取得して博物館として再利用し、現在は建物と海運資料を一般公開。,https://kyu-nippon-yusen-otaru.jp/,,,,,,,
北海道,小樽市,小樽芸術村 旧三井銀行小樽支店,旧銀行→美術館,1927年竣工の旧三井銀行小樽支店。2002年まで銀行として使われ、現在は小樽芸術村の美術館。貸金庫・金庫室などを公開。,https://otaru.gr.jp/shop/former-mitsui-bank-otaru-branch,,,,,,,
神奈川県,横浜市中区,神奈川県立歴史博物館,旧銀行→博物館,1904年築の旧横浜正金銀行本店を博物館へ転用。1967年から博物館として利用され、銀行時代のドームと本館構造を保存。,https://ch.kanagawa-museum.jp/cultural-properties/building,,,,,,,
福井県,敦賀市,敦賀市立博物館,旧銀行→博物館,1927年築の旧大和田銀行本店。銀行・金融機関として使われた後、1978年に博物館へ転用され、大金庫や旧営業室を公開。,https://tsuruga-municipal-museum.jp/,,,,,,,
長崎県,長崎市,長崎市旧香港上海銀行長崎支店記念館,旧銀行→記念館,1904年築の香港上海銀行長崎支店。支店閉鎖後は警察署などを経て、現在は銀行史と建物を公開する記念館。,https://www.nmhc.jp/museum_hsb/english.html,,,,,,,
佐賀県,唐津市,旧唐津銀行（辰野金吾記念館）,旧銀行→建築・歴史施設,1912年築の旧唐津銀行本店。銀行としての使用を終えた後、建物を保存した記念館として公開。旧営業室と金庫を見学できる。,https://www.city.karatsu.lg.jp/life/4/27/135/,,,,,,,
福岡県,北九州市門司区,旧大阪商船,旧海運会社支店→文化施設,1917年築の大阪商船門司支店。港湾・海運会社の支店として使われた建物を、現在はギャラリー・イベント施設として活用。,https://www.city.kitakyushu.lg.jp/contents/02100273.html,,,,,,,
福岡県,北九州市門司区,旧門司税関,旧税関庁舎→文化施設,1912年築の門司税関庁舎。税関業務を終えた建物を、現在は休憩所・カフェ・税関PR展示の複合施設として利用。,https://www.city.kitakyushu.lg.jp/moji/w1100362.html,,,,,,,
東京都,千代田区,mAAch ecute 神田万世橋,旧駅舎→商業施設,1912年開業の旧万世橋駅高架部を商業施設へ転用。旧駅ホーム・階段・鉄道博物館の遺構を残し、店舗とカフェとして利用。,https://www.ecute.jp/maach/about.html,,,,,,,
島根県,出雲市,旧大社駅,旧駅舎→文化施設,1924年築の旧大社駅駅舎。1990年の駅廃止後も駅舎・ホームを保存し、現在は一般公開とイベントに利用。,https://former-taisha-station.jp/,,,,,,,
北海道,室蘭市,旧室蘭駅舎,旧駅舎→観光・展示施設,1912年築の3代目室蘭駅舎。1997年まで駅として稼働し、現在は観光案内・展示・休憩施設として利用。,https://www.city.muroran.lg.jp/culture/?content=1681,,,,,,,
滋賀県,近江八幡市,ヴォーリズ記念館（旧郵便局）,旧郵便局→記念館,1921年築の旧近江八幡郵便局。郵便局としての使用を終えた後、ヴォーリズ記念館として公開され、旧局舎の窓口空間を残す。,https://vories.com/museum/,,,,,,,
滋賀県,近江八幡市,旧八幡郵便局,旧郵便局→文化施設,1921年築の旧八幡郵便局。1960年まで郵便局として使われ、保存修復後はギャラリー・イベント会場として利用。,https://www.omi8.com/spot/detail_1014.html,,,,,,,
奈良県,奈良市,奈良市総合観光案内所（旧JR奈良駅舎）,旧駅舎→観光案内・飲食施設,1934年築の旧JR奈良駅舎。駅舎機能を終えた後、観光案内所・カフェなどの複合施設として利用。,https://www.city.nara.lg.jp/site/kankou/71420.html,,,,,,,
静岡県,静岡市清水区,藝術喫茶 清水温泉,旧銭湯→飲食・文化施設,銭湯として使われた建物を改修したアートカフェ。浴槽・タイルなど旧浴場の設備を残し、飲食と展示の場として利用。,https://artcafe-shimizuonsen.com/,,,,,,,
長野県,松本市,旧開智学校校舎,旧学校→公開文化施設,1876年建築の小学校校舎。1963年まで学校として使われ、現在は校舎と教育資料を公開する文化施設。教室・講堂の構成が残る。,https://www.city.matsumoto.nagano.jp/soshiki/134/3770.html,,,,,,,
静岡県,磐田市,旧見付学校,旧学校→資料館,1875年開校の木造小学校校舎。学校としての使用を終えた後、教育資料館として公開され、教室・講堂の構成を残す。,https://www.pref.shizuoka.jp/kensei/information/myshizuoka/1002263/1040950/1011368.html,,,,,,,
東京都,北区,旧古河庭園,旧邸宅→公園・公開施設,古河財閥当主の邸宅として整備された洋館・庭園。戦後に公有化され、現在は都立庭園として一般公開。洋館と庭園の用途転換を確認できる。,https://www.tokyo-park.or.jp/park/kyu-furukawa/,,,,,,,
兵庫県,芦屋市,ヨドコウ迎賓館,旧邸宅→公開文化施設,旧山邑家住宅として1924年に竣工。企業所有を経て1989年から一般公開され、住宅建築を文化施設として利用。,https://www.yodoko-geihinkan.jp/,,,,,,,
長野県,軽井沢町,旧三笠ホテル,旧ホテル→公開文化施設,1906年開業のホテル建築。営業終了後に保存修理され、現在は内部を公開する文化施設として利用。客室・食堂などホテルの構成を残す。,https://kyu-mikasa-hotel.jp/information/,,,,,,,
長崎県,長崎市,旧グラバー住宅,旧邸宅→公開文化施設,1863年建築のグラバー邸。居住用洋館として使われた建物が、現在はグラバー園の公開文化財として利用されている。,https://www.city.nagasaki.lg.jp/page/1145.html,,,,,,,
