参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
,群馬県,伊勢崎市,阿久津ベンディングサービス,オートレストラン,,,,,,,日常の休憩場所として残るタイプ。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E4%BC%8A%E5%8B%A2%E5%B4%8E%E5%B8%82%20%E9%98%BF%E4%B9%85%E6%B4%A5%E3%83%99%E3%83%B3%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9
,群馬県,吾妻郡中之条町,柳屋遊技場,温泉街の遊技場,,,,,,,四万温泉のスマートボール店。射的も併設。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%90%BE%E5%A6%BB%E9%83%A1%E4%B8%AD%E4%B9%8B%E6%9D%A1%E7%94%BA%20%E6%9F%B3%E5%B1%8B%E9%81%8A%E6%8A%80%E5%A0%B4
,群馬県,渋川市,柳香軒,温泉街の遊技場,,,,,,,伊香保石段街の歴史ある射的・大弓の店。利用条件：射的・大弓ごとに課金。営業時刻は季節変動,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E6%B8%8B%E5%B7%9D%E5%B8%82%20%E6%9F%B3%E9%A6%99%E8%BB%92
"公式サイト：https://lunapark.maebashi-park.com/facilities/
公式資料：https://lunapark.maebashi-park.com/",群馬県,前橋市,るなぱあく もくば館・10えんゆうぐ,遊園地の小型遊技機,,,,,,,1954年から残る電動木馬など。古い遊技機と小さな遊園地の空間。利用条件：入園無料。遊具ごとに課金。もくば等は小学生以下が対象,https://lunapark.maebashi-park.com/facilities/,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%89%8D%E6%A9%8B%E5%B8%82%20%E3%82%8B%E3%81%AA%E3%81%B1%E3%81%82%E3%81%8F%20%E3%82%82%E3%81%8F%E3%81%B0%E9%A4%A8%E3%83%BB10%E3%81%88%E3%82%93%E3%82%86%E3%81%86%E3%81%90
,群馬県,前橋市,駄菓子屋わがじゃん ゲームコーナー,駄菓子屋のゲームコーナー,,,,,,,駄菓子店にゲームや玩具が残る日常の遊び場。利用条件：店舗営業時のみ。ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%89%8D%E6%A9%8B%E5%B8%82%20%E9%A7%84%E8%8F%93%E5%AD%90%E5%B1%8B%E3%82%8F%E3%81%8C%E3%81%98%E3%82%83%E3%82%93%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,群馬県,太田市,オレンジハット沖之郷店,オートレストラン,,,,,,,田園のロードサイド。食品自販機と古いゲームコーナーが同居。利用条件：ゲームごとに課金。24時間営業の案内,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%A4%AA%E7%94%B0%E5%B8%82%20%E3%82%AA%E3%83%AC%E3%83%B3%E3%82%B8%E3%83%8F%E3%83%83%E3%83%88%E6%B2%96%E4%B9%8B%E9%83%B7%E5%BA%97
,群馬県,藤岡市,ドライブイン七輿 ゲームコーナー,ドライブインのゲームコーナー,,,,,,,食品自販機とワニワニパニック・ドライブゲーム等が同居するロードサイド空間。利用条件：ゲームごとに課金。ゲーム区画は深夜営業なし,,https://www.google.com/maps/search/?api=1&query=%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E8%97%A4%E5%B2%A1%E5%B8%82%20%E3%83%89%E3%83%A9%E3%82%A4%E3%83%96%E3%82%A4%E3%83%B3%E4%B8%83%E8%BC%BF%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,埼玉県,さいたま市南区,プレイスポットビッグワンセカンド,街のゲームセンター,,,,,,,南浦和の旧作対戦ゲーム店。KOF98等の対戦会を継続。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E3%81%95%E3%81%84%E3%81%9F%E3%81%BE%E5%B8%82%E5%8D%97%E5%8C%BA%20%E3%83%97%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%83%93%E3%83%83%E3%82%B0%E3%83%AF%E3%83%B3%E3%82%BB%E3%82%AB%E3%83%B3%E3%83%89
公式サイト：https://roboto.co.jp/,埼玉県,深谷市,ビデオゲームミュージアム ロボット深谷店,レトロゲームセンター,,,,,,,郊外の大型店で旧作筐体を多数維持。保存の比重が高い営業施設として区別。利用条件：ゲームごとに課金,https://roboto.co.jp/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E6%B7%B1%E8%B0%B7%E5%B8%82%20%E3%83%93%E3%83%87%E3%82%AA%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%20%E3%83%AD%E3%83%9C%E3%83%83%E3%83%88%E6%B7%B1%E8%B0%B7%E5%BA%97
公式サイト：http://www.daikeien.jp/,千葉県,市川市,大慶園,ロードサイド複合遊技施設,,,,,,,アメリカ風の意図的な演出あり。利用条件：ゲームごとに課金。最新営業日は要確認,http://www.daikeien.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%B8%82%E5%B7%9D%E5%B8%82%20%E5%A4%A7%E6%85%B6%E5%9C%92
公式サイト：https://www.leisurelan.co.jp/store/ace-tu/,千葉県,船橋市,アミューズメントエース津田沼,古い商業ビルのゲームセンター,,,,,,,駅前ビル1～3階。ビデオ・メダル・音楽ゲームが集まる昔ながらの複合店。利用条件：ゲームごとに課金。9:00～24:00,https://www.leisurelan.co.jp/store/ace-tu/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E8%88%B9%E6%A9%8B%E5%B8%82%20%E3%82%A2%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%BA%E3%83%A1%E3%83%B3%E3%83%88%E3%82%A8%E3%83%BC%E3%82%B9%E6%B4%A5%E7%94%B0%E6%B2%BC
公式サイト：https://haikarayokotyo.com/,東京都,葛飾区,柴又ハイカラ横丁 ゲームコーナー,再現型レトロ遊技施設,,,,,,,駄菓子店内の10円ゲーム等。昭和を再現した施設として区別。利用条件：ゲームごとに課金。故障・休止機あり,https://haikarayokotyo.com/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%91%9B%E9%A3%BE%E5%8C%BA%20%E6%9F%B4%E5%8F%88%E3%83%8F%E3%82%A4%E3%82%AB%E3%83%A9%E6%A8%AA%E4%B8%81%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,東京都,港区,ゲームインリド Part1,雑居ビル内,,,,,,,ニュー新橋ビル2階。麻雀やパズルゲーム中心の小規模店。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%AF%E5%8C%BA%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%A4%E3%83%B3%E3%83%AA%E3%83%89%20Part1
公式サイト：https://game-versus.net/,東京都,荒川区,西日暮里ゲームスポットバーサス,雑居ビル内,,,,,,,駅近くのビル3階にある対戦ゲームの店。旧作対戦文化を記録する対象。利用条件：ゲームごとに課金。公式案内10～25時,https://game-versus.net/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%8D%92%E5%B7%9D%E5%8C%BA%20%E8%A5%BF%E6%97%A5%E6%9A%AE%E9%87%8C%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%9D%E3%83%83%E3%83%88%E3%83%90%E3%83%BC%E3%82%B5%E3%82%B9
公式サイト：https://www.asoviba.com/,東京都,渋谷区,ASO:VIBA! 恵比寿店,街のゲームセンター,,,,,,,恵比寿のビル内。2026年訪問記事で3階の旧作ゲームを確認。利用条件：ゲームごとに課金,https://www.asoviba.com/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%B8%8B%E8%B0%B7%E5%8C%BA%20ASO%3AVIBA!%20%E6%81%B5%E6%AF%94%E5%AF%BF%E5%BA%97
"公式サイト：https://mi-ka-do.net/baba/
公式資料：https://mi-ka-do.net/",東京都,新宿区,高田馬場ゲーセンミカド,街のゲームセンター,,,,,,,旧作ビデオ・体感ゲームを継続運用。収集保存の活動も強い。利用条件：ゲームごとに課金。最新営業日は要確認,https://mi-ka-do.net/baba/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA%20%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E3%82%B2%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%9F%E3%82%AB%E3%83%89
,東京都,西多摩郡瑞穂町,DORAMA 瑞穂店,ロードサイドゲームセンター,,,,,,,郊外型の店内に1980年代のゲームを集めた一角。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%A5%BF%E5%A4%9A%E6%91%A9%E9%83%A1%E7%91%9E%E7%A9%82%E7%94%BA%20DORAMA%20%E7%91%9E%E7%A9%82%E5%BA%97
公式サイト：https://www.taito.co.jp/store/00001703,東京都,千代田区,Hey,商業ビルのゲームセンター,,,,,,,秋葉原の旧作シューティング・格闘ゲーム集積店。利用条件：ゲームごとに課金。最新営業日は要確認。10:00～23:30,https://www.taito.co.jp/store/00001703,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA%20Hey
,東京都,東村山市,ゲームインファッツ,街のゲームセンター,,,,,,,久米川駅近くの昔ながらのビデオゲーム店。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%B1%E6%9D%91%E5%B1%B1%E5%B8%82%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%A4%E3%83%B3%E3%83%95%E3%82%A1%E3%83%83%E3%83%84
公式サイト：https://dgmjp.stars.ne.jp/,東京都,板橋区,駄菓子屋ゲーム博物館,保存型10円ゲーム施設,,,,,,,住宅街の小さな施設に10円ゲームを集積。駄菓子屋の遊技文化を保存する施設。利用条件：入場料・ゲーム料金。営業日の情報に差があり事前確認,https://dgmjp.stars.ne.jp/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA%20%E9%A7%84%E8%8F%93%E5%AD%90%E5%B1%8B%E3%82%B2%E3%83%BC%E3%83%A0%E5%8D%9A%E7%89%A9%E9%A4%A8
"公式サイト：https://mi-ka-do.net/bukuro/
公式資料：https://mi-ka-do.net/",東京都,豊島区,池袋ゲーセンミカド,レトロゲームセンター,,,,,,,池袋の旧作ゲーム集積店。既存ゲームセンターの場所を引き継いだ保存重視の営業。利用条件：ゲームごとに課金,https://mi-ka-do.net/bukuro/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%B1%8A%E5%B3%B6%E5%8C%BA%20%E6%B1%A0%E8%A2%8B%E3%82%B2%E3%83%BC%E3%82%BB%E3%83%B3%E3%83%9F%E3%82%AB%E3%83%89
,東京都,北区,おもちゃのふくしま ゲームコーナー,商店街のゲームコーナー,,,,,,,桐ヶ丘中央商店街のおもちゃ店に残る古いビデオゲーム。商店街ごと記録候補。利用条件：店舗営業時のみ。ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA%20%E3%81%8A%E3%82%82%E3%81%A1%E3%82%83%E3%81%AE%E3%81%B5%E3%81%8F%E3%81%97%E3%81%BE%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,東京都,練馬区,Game in えびせん,街のゲームセンター,,,,,,,江古田のシューティング中心の小規模ゲーセン。旧作を長く維持。利用条件：ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%20Game%20in%20%E3%81%88%E3%81%B3%E3%81%9B%E3%82%93
,東京都,練馬区,あかしや（真野商店）ゲームコーナー,商店のゲームコーナー,,,,,,,下石神井3丁目の小さな商店に残る10円ゲーム。生活圏の中の軒先空間。利用条件：店舗営業時のみ。ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%20%E3%81%82%E3%81%8B%E3%81%97%E3%82%84%EF%BC%88%E7%9C%9F%E9%87%8E%E5%95%86%E5%BA%97%EF%BC%89%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,東京都,練馬区,ゲームパーク石神井,商店街のゲームセンター,,,,,,,絨毯や内装に90年代の面影が残る現役店。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%91%E3%83%BC%E3%82%AF%E7%9F%B3%E7%A5%9E%E4%BA%95
,東京都,練馬区,久胡商店 ゲームコーナー,商店の軒先ゲームコーナー,,,,,,,商店の軒先に残る小型ゲーム機。生活圏の中で自然に残った空間。利用条件：店舗営業時のみ。ゲームごとに課金,,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E7%B7%B4%E9%A6%AC%E5%8C%BA%20%E4%B9%85%E8%83%A1%E5%95%86%E5%BA%97%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,神奈川県,川崎市宮前区,東京バッティングセンターPART.3,バッティングセンター併設,,,,,,,旧作の電車でGO!や汎用筐体が残る複合スポーツ施設。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%AE%AE%E5%89%8D%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E3%83%90%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BCPART.3
,神奈川県,川崎市多摩区,東京バッティングセンターNO.3,バッティングセンター併設,,,,,,,ロビーに旧作の太鼓・料理系ゲームを設置。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%A4%9A%E6%91%A9%E5%8C%BA%20%E6%9D%B1%E4%BA%AC%E3%83%90%E3%83%83%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BCNO.3
"公式サイト：https://www.kassekanko.jp/
公式資料：https://www.kassekanko.jp/company.html",神奈川県,相模原市緑区,勝瀬観光 ゲームランド,湖畔観光地,,,,,,,遊覧船乗り場に体感ゲームや古い遊具が残る。利用条件：ゲームごとに課金。最新営業日は要確認。1947年完成,https://www.kassekanko.jp/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E7%B7%91%E5%8C%BA%20%E5%8B%9D%E7%80%AC%E8%A6%B3%E5%85%89%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%83%A9%E3%83%B3%E3%83%89
,神奈川県,相模原市緑区,振興ボート ゲームコーナー,湖畔観光地,,,,,,,貸しボート乗り場の古い屋内遊技空間。故障機もある。利用条件：ゲームごとに課金。最新営業日は要確認,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E7%B7%91%E5%8C%BA%20%E6%8C%AF%E8%88%88%E3%83%9C%E3%83%BC%E3%83%88%20%E3%82%B2%E3%83%BC%E3%83%A0%E3%82%B3%E3%83%BC%E3%83%8A%E3%83%BC
,神奈川県,足柄下郡箱根町,娯楽センター七福,温泉街の遊技場,,,,,,,大平台に残る射的・スマートボール等の小さな遊技場。利用条件：各遊技で課金。水曜休の案内,,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E8%B6%B3%E6%9F%84%E4%B8%8B%E9%83%A1%E7%AE%B1%E6%A0%B9%E7%94%BA%20%E5%A8%AF%E6%A5%BD%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E4%B8%83%E7%A6%8F
