参照,都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
"公式サイト：https://www.aeon.com/store/イオン/イオン米子駅前店/?is_browser=true
公式資料：https://aeon-newbusiness.com/prefecture/?pref_id=31",鳥取県,米子市,イオン米子駅前店,古参総合スーパー・SC,,,,,,,米子駅前の複数階型店舗。駅前商業施設の売場構成を記録する候補。開業：1989年7月開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon.com/store/イオン/イオン米子駅前店/?is_browser=true,https://www.google.com/maps/search/?api=1&query=%E9%B3%A5%E5%8F%96%E7%9C%8C%20%E7%B1%B3%E5%AD%90%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E7%B1%B3%E5%AD%90%E9%A7%85%E5%89%8D%E5%BA%97
公式サイト：https://www.aeon.com/store/イオン/イオン三原店/shop_info/hours/,広島県,三原市,イオン三原店,古参総合スーパー・SC,,,,,,,三原駅周辺の古参店。現在も2階建ての総合売場・専門店を展開。開業：1989年7月／旧名称：ジャスコ三原店2025年7月18日リニューアル。フードコートも全面的に見直されており、古い雰囲気の残存は限定的な可能性。,https://www.aeon.com/store/イオン/イオン三原店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E5%BA%83%E5%B3%B6%E7%9C%8C%20%E4%B8%89%E5%8E%9F%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E4%B8%89%E5%8E%9F%E5%BA%97
公式サイト：https://www.aeon.com/store/イオン/イオン稲毛店/?is_browser=true,千葉県,千葉市稲毛区,イオン稲毛店,古参総合スーパー・SC,,,,,,,稲毛駅近くの複数階型SC。地下食品売場と上階売場を持つ駅前店舗。開業：1990年11月開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon.com/store/イオン/イオン稲毛店/?is_browser=true,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%8D%83%E8%91%89%E5%B8%82%E7%A8%B2%E6%AF%9B%E5%8C%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E7%A8%B2%E6%AF%9B%E5%BA%97
公式サイト：https://www.aeon.jp/sc/kanazawahakkei/,神奈川県,横浜市金沢区,イオン金沢八景ショッピングセンター,古参総合スーパー・SC,,,,,,,地下食品売場と上階売場を持つ都市型SC。平成初期の商業空間を探す候補。開業：1991年9月／旧名称：ダイエー金沢八景店開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon.jp/sc/kanazawahakkei/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E9%87%91%E6%B2%A2%E5%8C%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E9%87%91%E6%B2%A2%E5%85%AB%E6%99%AF%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC
"公式サイト：https://www.aeon-hokkaido.jp/aeon/shop/kamiiso/
公式資料：https://www.aeon-hokkaido.jp/corporation/profile/pdf/pro01.pdf",北海道,北斗市,イオン上磯店,古参総合スーパー・SC,,,,,,,函館近郊の平面展開型SC。食品・生活用品・専門店が集まる地域店舗。開業：1993年10月開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon-hokkaido.jp/aeon/shop/kamiiso/,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E6%B5%B7%E9%81%93%20%E5%8C%97%E6%96%97%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E4%B8%8A%E7%A3%AF%E5%BA%97
"公式サイト：https://tsugarukashiwa.aeonmall.jp/
公式資料：https://www.aeonmall.com/company/history/",青森県,つがる市,イオンモールつがる柏,古参総合スーパー・SC,,,,,,,初期の郊外型イオンモール。ボウリング場・映画館も組み合わさる。開業：1992年11月増改装を経た現役モール。開業時から残る区画・意匠は未確認。,https://tsugarukashiwa.aeonmall.jp/,https://www.google.com/maps/search/?api=1&query=%E9%9D%92%E6%A3%AE%E7%9C%8C%20%E3%81%A4%E3%81%8C%E3%82%8B%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E3%81%A4%E3%81%8C%E3%82%8B%E6%9F%8F
"公式サイト：https://futtsu.aeonmall.jp/
公式資料：https://www.aeonmall.com/company/history/",千葉県,富津市,イオンモール富津,古参総合スーパー・SC,,,,,,,平成初期の地方モール。専門店街と総合スーパーの組み合わせを採集する候補。開業：1993年9月改装・売場再編あり。空き区画の多さや静けさを現行事実としては評価していない。,https://futtsu.aeonmall.jp/,https://www.google.com/maps/search/?api=1&query=%E5%8D%83%E8%91%89%E7%9C%8C%20%E5%AF%8C%E6%B4%A5%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E5%AF%8C%E6%B4%A5
"公式サイト：https://akita.aeonmall.jp/
公式資料：https://www.aeonmall.com/company/history/",秋田県,秋田市,イオンモール秋田,古参総合スーパー・SC,,,,,,,御所野地区の初期郊外モール。地方大型SCの発展を記録する比較対象。開業：1993年9月現在の全館が1993年の建物ではない。,https://akita.aeonmall.jp/,https://www.google.com/maps/search/?api=1&query=%E7%A7%8B%E7%94%B0%E7%9C%8C%20%E7%A7%8B%E7%94%B0%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E7%A7%8B%E7%94%B0
"公式サイト：https://www.aeon.jp/sc/hineno/
公式資料：https://www.aeonmall.com/pdf/company/about/aeonmall_data_2025.pdf",大阪府,泉佐野市,イオンモール日根野,古参総合スーパー・SC,,,,,,,1990年代半ばに開業した泉州地域のSC。初期モールの空間構成を調べる候補。開業：1995年4月開業年月は施設の沿革。現建物の全区画が当初のままかは未確認。,https://www.aeon.jp/sc/hineno/,https://www.google.com/maps/search/?api=1&query=%E5%A4%A7%E9%98%AA%E5%BA%9C%20%E6%B3%89%E4%BD%90%E9%87%8E%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%83%A2%E3%83%BC%E3%83%AB%E6%97%A5%E6%A0%B9%E9%87%8E
公式サイト：https://www.aeon.com/store/イオン/イオンスタイル松山/shop_info/hours/,愛媛県,松山市,イオンスタイル松山,古参総合スーパー・SC,,,,,,,1990年代の総合スーパー。昭和期の店舗と比較する補助候補。開業：1995年11月／旧名称：ジャスコ松山店／イオン松山店2016年イオンスタイルへ改装。2024年6月にも1階食品・美と健康を改装。,https://www.aeon.com/store/イオン/イオンスタイル松山/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E5%AA%9B%E7%9C%8C%20%E6%9D%BE%E5%B1%B1%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%B9%E3%82%BF%E3%82%A4%E3%83%AB%E6%9D%BE%E5%B1%B1
公式サイト：https://www.aeon.com/store/イオン/イオン大月店/shop_info/hours/,山梨県,大月市,イオン大月店,古参総合スーパー・SC,,,,,,,訪問記録に旧忠実屋・ダイエーのロゴや階段・案内表示の痕跡。小規模な旧総合スーパーの採集候補。開業：1973年頃／旧名称：忠実屋／ダイエー大月店年代は訪問記録による概数。旧意匠の現在の残存と屋上の利用可否は未確認。2026年5月のイオン公式発表にも現役店として登場。,https://www.aeon.com/store/イオン/イオン大月店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%A2%A8%E7%9C%8C%20%E5%A4%A7%E6%9C%88%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%A4%A7%E6%9C%88%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン木曽福島店/shop_info/hours/
公式資料：https://aeon-newbusiness.com/prefecture/?pref_id=20",長野県,木曽郡木曽町,イオン木曽福島店,古参総合スーパー・SC,,,,,,,食品館・衣料館に分かれた小規模店。山間の駅前商業空間を記録する候補。開業：1978年11月開業年月は施設の沿革。建物の区画別築年・改装履歴、古い意匠の現在の残存は未確認。,https://www.aeon.com/store/イオン/イオン木曽福島店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E6%9C%A8%E6%9B%BD%E9%83%A1%E6%9C%A8%E6%9B%BD%E7%94%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E6%9C%A8%E6%9B%BD%E7%A6%8F%E5%B3%B6%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン西新井店/shop_info/hours/
公式資料：https://www.aeonretail.jp/pdf/240828R_3.pdf",東京都,足立区,イオン西新井店,古参総合スーパー・SC,,,,,,,駅前の複数階型古参店。1階食品、2・3階総合売場、4階専門店という構成。開業：1981年／旧名称：ニチイ西新井店建物と内装の改装履歴は未確認。,https://www.aeon.com/store/イオン/イオン西新井店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E8%B6%B3%E7%AB%8B%E5%8C%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E8%A5%BF%E6%96%B0%E4%BA%95%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン厚木店/shop_info/hours/
公式資料：https://www.garden-citybill.co.jp/",神奈川県,厚木市,イオン厚木店,古参総合スーパー・SC,,,,,,,厚木ガーデンシティビルの核店舗。地下から上層階まで用途が重なる駅前商業ビル。開業：1981年11月／旧名称：厚木サティ入居店の交代・改装あり。ハローズガーデンの2025年閉店はイオン全店の閉店ではない。,https://www.aeon.com/store/イオン/イオン厚木店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E5%8E%9A%E6%9C%A8%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%8E%9A%E6%9C%A8%E5%BA%97
"公式サイト：https://www.aeon.com/store/イオン/イオン南越谷店/shop_info/hours/
公式資料：https://www.city.koshigaya.saitama.jp/kurashi_shisei/shisei/keikaku/kakushukeikaku/shisei/nankoshisyuhen/files/genzaisuncity_kongosuncity.pdf",埼玉県,越谷市,イオン南越谷店,古参総合スーパー・SC,,,,,,,越谷サンシティの商業棟。開業：1979年6月／旧名称：ダイエー南越谷店周辺一帯に再整備の検討あり。改装履歴や今後の営業変更は要確認。,https://www.aeon.com/store/イオン/イオン南越谷店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E5%9F%BC%E7%8E%89%E7%9C%8C%20%E8%B6%8A%E8%B0%B7%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%8D%97%E8%B6%8A%E8%B0%B7%E5%BA%97
公式サイト：https://www.aeon.com/store/イオン/イオン京都西店/?is_browser=true,京都府,京都市右京区,イオン京都西店（京都ファミリー）,古参総合スーパー・SC,,,,,,,京都ファミリー内の食品・生活用品売場。昭和期SCと現在の専門店構成を比較する候補。開業：1982年11月京都ファミリーは2025年春にリフレッシュ。1982年はSC開業年月。現在のイオン売場は主に1階。,https://www.aeon.com/store/イオン/イオン京都西店/?is_browser=true,https://www.google.com/maps/search/?api=1&query=%E4%BA%AC%E9%83%BD%E5%BA%9C%20%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8F%B3%E4%BA%AC%E5%8C%BA%20%E3%82%A4%E3%82%AA%E3%83%B3%E4%BA%AC%E9%83%BD%E8%A5%BF%E5%BA%97%EF%BC%88%E4%BA%AC%E9%83%BD%E3%83%95%E3%82%A1%E3%83%9F%E3%83%AA%E3%83%BC%EF%BC%89
"公式サイト：https://aeontohoku.co.jp/stores/ezuriko
公式資料：https://aeontohoku.co.jp/company/uploads/News/news_20260317.pdf",岩手県,北上市,イオン江釣子店（江釣子ショッピングセンター パル）,古参総合スーパー・SC,,,,,,,地域共同型SCの核店舗。地元専門店との組み合わせを記録する比較候補。開業：1981年12月／旧名称：ジャスコ2026年4月リニューアル。同年開業のイオンシネマ館は新設棟で、古い建物として扱わない。,https://aeontohoku.co.jp/stores/ezuriko,https://www.google.com/maps/search/?api=1&query=%E5%B2%A9%E6%89%8B%E7%9C%8C%20%E5%8C%97%E4%B8%8A%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E6%B1%9F%E9%87%A3%E5%AD%90%E5%BA%97%EF%BC%88%E6%B1%9F%E9%87%A3%E5%AD%90%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%20%E3%83%91%E3%83%AB%EF%BC%89
"公式サイト：https://www.aeon.com/store/イオン/イオン県央店/shop_info/hours/
公式資料：https://www.city.sanjo.niigata.jp/material/files/group/19/kakutityuyshajou.pdf",新潟県,燕市,イオン県央店,古参総合スーパー・SC,,,,,,,燕三条駅周辺の複数階型店。1～3階の店舗と上階駐車場を持つ地域SC。開業：1991年4月2026年に3階へ新しい事業者向けスペースが開設。近隣の新施設そよら三条須頃や閉店したイオン三条店とは別施設。,https://www.aeon.com/store/イオン/イオン県央店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E6%96%B0%E6%BD%9F%E7%9C%8C%20%E7%87%95%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E7%9C%8C%E5%A4%AE%E5%BA%97
公式サイト：https://www.aeon.com/store/イオン/イオン南松本店/shop_info/hours/,長野県,松本市,イオン南松本店,古参総合スーパー・SC,,,,,,,南松本エリアの平成初期の総合スーパー。2017年開業のイオンモール松本とは別施設。開業：1993年6月開業年月は施設の沿革。建物の区画別築年・改装履歴、古い意匠の現在の残存は未確認。,https://www.aeon.com/store/イオン/イオン南松本店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E9%95%B7%E9%87%8E%E7%9C%8C%20%E6%9D%BE%E6%9C%AC%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%8D%97%E6%9D%BE%E6%9C%AC%E5%BA%97
公式サイト：https://www.aeon.com/store/イオン/イオン大安店/shop_info/hours/,三重県,いなべ市,イオン大安店,古参総合スーパー・SC,,,,,,,グリーンプラザ大安の核店舗。開業：1993年10月開業年月は施設の沿革。建物の区画別築年・改装履歴、古い意匠の現在の残存は未確認。,https://www.aeon.com/store/イオン/イオン大安店/shop_info/hours/,https://www.google.com/maps/search/?api=1&query=%E4%B8%89%E9%87%8D%E7%9C%8C%20%E3%81%84%E3%81%AA%E3%81%B9%E5%B8%82%20%E3%82%A4%E3%82%AA%E3%83%B3%E5%A4%A7%E5%AE%89%E5%BA%97
